City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-32.47,75,0,3.58,CA,2023-02-01 23:20:26
1,new norfolk,-42.7826,147.0587,15.49,42,100,3.13,AU,2023-02-01 23:21:56
2,ribeira grande,38.5167,-28.7,13.21,80,7,2.68,PT,2023-02-01 23:22:46
3,jamestown,42.097,-79.2353,-5.23,71,0,2.57,US,2023-02-01 23:28:42
4,port hardy,50.6996,-127.4199,5.1,87,100,9.26,CA,2023-02-01 23:30:09
5,maumere,-8.6199,122.2111,26.58,81,99,1.66,ID,2023-02-01 23:28:46
6,castrillon,43.3979,-6.7922,2.8,95,4,1.61,ES,2023-02-01 23:30:11
7,barrow,71.2906,-156.7887,-21.99,77,0,9.26,US,2023-02-01 23:23:49
8,rikitea,-23.1203,-134.9692,26.43,76,10,6.51,PF,2023-02-01 23:20:37
9,saint-philippe,-21.3585,55.7679,22.77,83,52,3.05,RE,2023-02-01 23:26:58
10,mar del plata,-38.0023,-57.5575,21.08,79,75,5.14,AR,2023-02-01 23:30:13
11,hilo,19.7297,-155.09,27.93,74,0,3.58,US,2023-02-01 23:30:13
12,richards bay,-28.783,32.0377,23.08,87,79,5.59,ZA,2023-02-01 23:30:14
13,hithadhoo,-0.6,73.0833,27.04,77,45,5.01,MV,2023-02-01 23:21:33
14,bluff,-46.6,168.3333,20.26,78,47,0.69,NZ,2023-02-01 23:28:07
15,punta arenas,-53.15,-70.9167,16.06,51,75,3.09,CL,2023-02-01 23:22:12
16,northam,51.0333,-4.2167,9.1,91,49,6.14,GB,2023-02-01 23:28:55
17,alice springs,-23.7,133.8833,22.75,46,0,1.54,AU,2023-02-01 23:30:16
18,sept-iles,50.2001,-66.3821,-12.0,74,75,2.06,CA,2023-02-01 23:27:37
19,leshukonskoye,64.8989,45.7622,-5.03,94,100,3.22,RU,2023-02-01 23:30:16
20,pacific grove,36.6177,-121.9166,16.34,73,0,5.66,US,2023-02-01 23:23:04
21,busselton,-33.65,115.3333,14.43,71,5,7.1,AU,2023-02-01 23:23:10
22,bethel,41.3712,-73.414,0.42,48,0,2.57,US,2023-02-01 23:26:39
23,matara,5.9485,80.5353,23.22,85,100,1.97,LK,2023-02-01 23:30:18
24,sao filipe,14.8961,-24.4956,21.86,70,20,5.4,CV,2023-02-01 23:30:19
25,terney,45.0503,136.6092,-12.56,58,15,6.03,RU,2023-02-01 23:30:19
26,atuona,-9.8,-139.0333,26.08,73,78,7.79,PF,2023-02-01 23:22:32
27,yumen,40.2833,97.2,-8.1,46,64,0.19,CN,2023-02-01 23:29:02
28,nelson bay,-32.7167,152.15,26.16,86,42,3.13,AU,2023-02-01 23:22:00
29,alta floresta,-9.8756,-56.0861,22.64,94,15,1.11,BR,2023-02-01 23:22:19
30,homer,59.6425,-151.5483,1.93,89,100,2.24,US,2023-02-01 23:30:21
31,vaini,-21.2,-175.2,29.09,79,75,7.2,TO,2023-02-01 23:30:22
32,mataura,-46.1927,168.8643,27.95,45,53,1.52,NZ,2023-02-01 23:30:22
33,kaitangata,-46.2817,169.8464,24.15,63,48,1.23,NZ,2023-02-01 23:29:23
34,kaeo,-35.1,173.7833,25.74,82,100,2.32,NZ,2023-02-01 23:30:23
35,tanete,-3.9443,119.7848,24.43,94,92,1.53,ID,2023-02-01 23:30:24
36,khatanga,71.9667,102.5,-31.63,96,100,2.44,RU,2023-02-01 23:30:24
37,kununurra,-15.7667,128.7333,26.99,94,78,2.06,AU,2023-02-01 23:30:25
38,lebu,-37.6167,-73.65,14.89,78,0,10.07,CL,2023-02-01 23:23:58
39,saint george,37.1041,-113.5841,10.7,28,0,1.79,US,2023-02-01 23:26:57
40,mildura,-34.2,142.15,18.93,52,11,7.91,AU,2023-02-01 23:30:26
41,puerto ayora,-0.7393,-90.3518,26.42,92,88,1.79,EC,2023-02-01 23:26:25
42,katsuura,35.1333,140.3,6.01,45,79,7.54,JP,2023-02-01 23:26:40
43,ahipara,-35.1667,173.1667,23.89,70,100,3.48,NZ,2023-02-01 23:24:35
44,cherskiy,68.75,161.3,-21.4,99,100,1.91,RU,2023-02-01 23:30:27
45,noshiro,40.2039,140.0242,-1.54,65,99,10.45,JP,2023-02-01 23:30:28
46,ushuaia,-54.8,-68.3,14.81,58,75,6.69,AR,2023-02-01 23:30:28
47,hermanus,-34.4187,19.2345,17.67,82,76,2.71,ZA,2023-02-01 23:30:29
48,torbay,47.6666,-52.7314,-11.02,79,40,2.24,CA,2023-02-01 23:26:45
49,borzya,50.3833,116.5167,-30.07,100,59,0.93,RU,2023-02-01 23:30:30
50,cardston,49.2,-113.3019,-7.84,86,100,4.63,CA,2023-02-01 23:30:17
51,carnarvon,-24.8667,113.6333,27.44,67,84,4.45,AU,2023-02-01 23:30:30
52,thompson,55.7435,-97.8558,-27.91,69,100,6.69,CA,2023-02-01 23:23:47
53,aripuana,-9.1667,-60.6333,23.46,86,64,0.38,BR,2023-02-01 23:26:22
54,mersing,2.4312,103.8405,24.95,94,40,4.12,MY,2023-02-01 23:30:31
55,canico,32.6333,-16.85,17.35,72,40,4.63,PT,2023-02-01 23:30:32
56,port alfred,-33.5906,26.891,18.99,90,28,1.79,ZA,2023-02-01 23:28:44
57,bambous virieux,-20.3428,57.7575,25.14,88,40,1.54,MU,2023-02-01 23:23:55
58,okhotsk,59.3833,143.3,-19.53,89,100,5.72,RU,2023-02-01 23:30:33
59,provideniya,64.3833,-173.3,-3.94,80,75,5.0,RU,2023-02-01 23:28:26
60,kapaa,22.0752,-159.319,27.18,77,0,4.12,US,2023-02-01 23:30:35
61,norman wells,65.282,-126.8329,-32.98,75,40,1.54,CA,2023-02-01 23:30:35
62,nikolskoye,59.7035,30.7861,-0.06,96,100,2.72,RU,2023-02-01 23:22:27
63,qaanaaq,77.484,-69.3632,-23.02,63,35,3.75,GL,2023-02-01 23:30:36
64,half moon bay,37.4636,-122.4286,16.36,44,0,1.54,US,2023-02-01 23:23:41
65,vestmannaeyjar,63.4427,-20.2734,2.06,69,100,11.26,IS,2023-02-01 23:22:47
66,the valley,18.217,-63.0578,25.08,78,20,2.57,AI,2023-02-01 23:28:32
67,sola,-13.8833,167.55,27.36,72,32,0.76,VU,2023-02-01 23:25:26
68,talnakh,69.4865,88.3972,-12.66,96,100,4.05,RU,2023-02-01 23:30:38
69,batagay-alyta,67.8006,130.4114,-29.74,100,100,0.38,RU,2023-02-01 23:26:37
70,avera,33.194,-82.5271,17.03,81,98,2.42,US,2023-02-01 23:30:39
71,plettenberg bay,-34.0527,23.3716,17.89,81,2,1.85,ZA,2023-02-01 23:30:39
72,albany,42.6001,-73.9662,-3.69,53,43,2.46,US,2023-02-01 23:29:50
73,san carlos,9.6612,-68.5827,27.18,40,1,2.23,VE,2023-02-01 23:26:46
74,ozernovskiy,51.5,156.5167,-4.12,60,100,4.01,RU,2023-02-01 23:30:40
75,tarbagatay,51.4803,107.3602,-29.26,98,90,1.6,RU,2023-02-01 23:30:41
76,cape town,-33.9258,18.4232,19.93,75,20,6.69,ZA,2023-02-01 23:29:02
77,florence,43.7667,11.25,8.47,88,75,1.03,IT,2023-02-01 23:30:42
78,velingara,13.15,-14.1167,25.6,15,48,2.87,SN,2023-02-01 23:30:42
79,waipawa,-41.4122,175.5153,22.94,63,97,3.44,NZ,2023-02-01 23:27:52
80,saldanha,-33.0117,17.9442,17.03,89,1,7.52,ZA,2023-02-01 23:29:18
81,mahanje,-9.9333,35.3333,17.43,97,95,1.22,TZ,2023-02-01 23:27:14
82,tommot,58.9564,126.2925,-19.64,94,100,4.65,RU,2023-02-01 23:30:43
83,butaritari,3.0707,172.7902,26.94,79,78,8.25,KI,2023-02-01 23:30:44
